id;question;answer_1;answer_2;answer_3;answer_4;answer;level;comments
1;Ñ2Í5ÎÍ - ÷òî ýòî çà ìîëåêóëà? ;"ìîëåêóëà ãëþêîçû
";ìîëåêóëà ýòèëîâîãî ñïèðòà;ìîëåêóëà ìåòèëîâîãî ñïèðòà;ìîëåêóëà ôðóêòîçû;ìîëåêóëà ýòèëîâîãî ñïèðòà;1;
2;×àñòüþ êàêîé ãðóïïû ëåêàðñòâåííûõ ïðåïàðàòîâ ÿâëÿåòñÿ ìîëåêóëà öèêëîïåíòàíïåðãèäðîôåíàíòðåíà?;àíòèäåïðåññàíòû;ñåðä÷åíûå ãëèêîçèäû;ïåòëåâûå äèóðåòèêè;èíãèáèîðû ÀÏÔ;ñåðäå÷íûå ãëèêîçèäû;2;Öèêëîïåíòàíïåðãèäðîôåíàíòðåí - íåñàõàðèñòàÿ ÷àñòü (îíà æå àãëèêîí) ñåðäå÷íûõ ããëèêîçèäîâ è îáóñëàâëèâàåò êàðäèîòîíè÷åñêèé ýôôåêò
3;Ñêîëüêî àíàòîìè÷åñêèõ îáðàçîâàíèé â ÷åëîâå÷åñêîì îðãàíèçìå íàçâàíû â ÷åñòü Í.È. Ïèðîãîâà?;6;4;9;7;9;1;"Èõ 9:
1. Âåíîçíûé óãîë Ïèðîãîâà - ìåñòî ñëèÿíèÿ v.subclavia è v.jugularis interna, êîòîðûå îáðàçóþò v.brachiocephalica
2. Êàíàë Ïèðîãîâà - ðàñùåïëåíèå ñîáñòâåííîé ôàñöèè ïëå÷à íà ãðàíèöå åãî ñðåäíåé è íèæíåé òðåòè;
â íåì ïðîõîäèò ìåäèàëüíàÿ ïîäêîæíàÿ âåíà ðóêè (v.basilica) è n.cuneatus antebrachii medialis
3. Òàêîé æå êàíàë åñòü è â îáëàñòè ãîëåíè (canalis cruralis) - â ðàñùåïëåíèè ñîáñòâåííîé ôàñöèè ãîëåíè â âåðõíåé òðåòè ïðîõîäèò v.saphena parva è n.cutaneus surae medialis
4. Òðåóãîëüíèê Ïèðîãîâà (trigonum linguale) - ó÷àñòîê îáëàñòè øåè, îãðàíè÷åí ñóõîæèëèåì m.digastricus (ñçàäè è ñíèçó), n.hypoglossus (ñâåðõó) è ÷åëþñòíî-ïîäúÿçû÷íîé ìûøöåé, m.mylohyoideus (ñïåðåäè);
â ïðåäåëàõ ýòîãî òðåóãîëüíèêà ìîæíî ïðîâåñòè äîñòóï ê ÿçû÷íîé àðòåðèè
5. Óçåë Ïèðîãîâà-Ðîçåíìþëëåðà - ãëóáîêèé ïàõîâûé ëèìôîóçåë, ðàñïîëàãàåòñÿ â ìåäèàëüíîé ÷àñòè ñîñóäèñòîé ëàêóíû;
ïðè îáðàçîâàíèè áåäðåííîé ãðûæè ëåæèò â ïðåäåëàõ áåäðåííîãî êîëüöà (ãëóáîêîå îòâåðñòèå áåäðåííîãî êàíàëà)
6. Àïîíåâðîç (ôàñöèÿ) Ïèðîãîâà - àïîíåâðîç m.biceps brachii, ïåðåêèäûâàåòñÿ ÷åðåç ëîêòåâóþ ÿìêó è ïðîäîëæàåòñÿ â ôàñöèþ ïðåäïëå÷üÿ
7. Ëèìôîýïèòåëèàëüíîå ãëîòî÷íîå êîëüöî Ïèðîãîâà-Âàëüäåéåðà - ñêîïëåíèå ëèìôîèäíîé òêàíè â ñëèçèñòîé âåðõíèé äûõàòåëüíûõ ïóòåé;
ñîñòîèò èç íåïàðíûõ ãëîòî÷íîé è ÿçû÷íîé è ïàðíûõ òðóáíûõ è íåáíûõ ìèíäàëèí
8. Ïðîñòðàíñòâî Ïèðîãîâà-Ïàðîíû - êëåò÷àòî÷íîå ïðîñòðàíñòâî ìåæäó 3 è 4 ñëîÿìè ìûøö ïåðåäíåé îáëàñòè ïðåäïëå÷üÿ; ñþäà ìîæåò ðàñïðîñòðàíèòüñÿ ãíîéíûé ïðîöåññ èç îáëàñòè ëàäîíè ÷åðåç êàíàë çàïÿñòüÿ
9. Ïîëîñêè Ïèðîãîâà - ðàñïîëîæåíû â ïåðåäíåé îáëàñòè ïðåäïëå÷üÿ íà ãðàíèöå åãî ñðåäíåé è íèæíåé òðåòè;"
4;×òî òàêîå ÀÏÔ?;àíòèïðîòðîìáèíîâûé ôàêòîð;àíãèîòåíçèíïðåâðàùàþùèé ôåðìåíò;àïîïòîçíûé ôàêòîð;àíãèîïðîëèôåðàòèâíûé ôåðìåíò;àíãèîòåíçèíïðåâðàùàþùèé ôåðìåíò;1;
5;"Ãäå íàõîäèòñÿ ""àíàòîìè÷åñêàÿ òàáàêåðêà""?";â ïàõîâîé ñêëàäêå;â îáëàñòè ëó÷åçàïÿñòíîãî ñóñòàâà;â îáëàñòè ïàçóõ íîñà;âíóòðè ÷åðåïà â ðàéîíå íîñîâûõ ëóêîâèö;â îáëàñòè ëó÷åçàïÿñòíîãî ñóñòàâà;1;
6;Ïîñëå ïðèìåíåíèÿ êàêîãî ïðåïàðàòà ìíîãèå ñòðàíû ïåðåñìîòðåëè ïîäõîä (â ñòîðîíó áîëåå æåñòêîãî êîíòðîëÿ) ê ïðîâåäåíèþ èññëåäîâàíèé ëåêàðñòâ íà ëþäÿõ?;òàëèäîìèä;ìîðôèí;àíàëüãèí;áèîïàðîêñ;òàëèäîìèä;2;Òàëèäîìèä - ñåäàòèâíîå ïðåïàðàò,  êîòîðûé ïîçèöèîíèðîâàëñÿ êàê áåçîïàñíîå óñïîêîèòåëüíîå ñðåäñòâî äëÿ áåðåìåííûõ. Îäíàêî, ïîçæå áûëî âûÿëåíî åãî òåðàòîãåííîå äåéñòâèå. Â ïåðèîä ñ 1956 ïî 1962 ãîäû â ðÿäå ñòðàí ìèðà ðîäèëîñü ïî ðàçíûì ïîäñ÷¸òàì îò 8000 äî 12 000 äåòåé ñ âðîæä¸ííûìè óðîäñòâàìè, îáóñëîâëåííûìè òåì, ÷òî ìàòåðè ïðèíèìàëè ïðåïàðàòû òàëèäîìèäà âî âðåìÿ áåðåìåííîñòè. 
7;Ïðåïàðàòû êàêîé ãðóïïû áûëè ïîëó÷åíû èç ÿäà çìåè?;àñïèðèí;èÀÏÔ;áëîêàòîðû ðåöåïòîðîâ ê ÀÏÔ;âàðôàðèí;èÀÏÔ;2;
8;Ñêîëüêî êàìåð â ñåðäöå ÷åëîâåêà?;2;3;4;5;4;1;
9;Êàê ïåðåâîäèòñÿ fossa canina?;ëîøàäèíàÿ ÿìêà;ñîáà÷üÿ ÿìêà;êëûêîâîå îòâåðñòèå;ñîáà÷üå óãëóáëåíèå;ñîáà÷üÿ ÿìêà;1;Îò ëàò fassa - ÿìêà, ëàò caninus - ñîáà÷èé
10;"Â êàêîé ñïåöèëüíîñòè èñïîëüçóþò òåðìèí ""êàðòèíà çâåçäíîãî íåáà""";ïñèõèàòðèÿ;íåâðîëîãèÿ;ôòèçèàòðèÿ;ãåìàòîëîãèÿ;ôòèçèàòðèÿ;1;"Ïðè ìèëèàðíîì òóáåðêóëåçå íà Ð-ãð ëåãêèõ èìåþòñÿ õàðàêòåðíûå ìåëóèå î÷àãè (1-2 ìì), íàïîìèíàþùèå çâåçíîå íåáî (èëè ñíåæíóþ áóðþ).
"
